drawer z=0
  x=28.35 y=14.91 AbsoluteRectFrame[w=243.31 h=229.98]
  x=29.10 y=29.10 Text["あああああああああ" asc=10.80 desc=3.60]
  x=29.10 y=43.50 Text["あああああああああ" asc=10.80 desc=3.60]
  x=29.10 y=57.90 Text["あああああああああ" asc=10.80 desc=3.60]
  x=29.10 y=72.30 Text["あああああああああ" asc=10.80 desc=3.60]
  x=29.10 y=86.70 Text["あああああああああ" asc=10.80 desc=3.60]
  x=29.10 y=101.10 Text["あああああああああ" asc=10.80 desc=3.60]
  x=29.10 y=115.50 Text["あああああああああ" asc=10.80 desc=3.60]
  x=29.10 y=129.90 Text["あああああああああ" asc=10.80 desc=3.60]
  x=29.10 y=144.30 Text["あああああああああ" asc=10.80 desc=3.60]
  x=29.10 y=158.70 Text["あああああああああ" asc=10.80 desc=3.60]
  x=29.10 y=173.10 Text["あああああああああ" asc=10.80 desc=3.60]
  x=29.10 y=187.50 Text["あああああああああ" asc=10.80 desc=3.60]
  x=29.10 y=201.90 Text["あああああああああ" asc=10.80 desc=3.60]
  x=29.10 y=216.30 Text["あああああああああ" asc=10.80 desc=3.60]
  x=156.00 y=29.10 Text["あああああああああ" asc=10.80 desc=3.60]
  x=156.00 y=43.50 Text["あああああああああ" asc=10.80 desc=3.60]
  x=156.00 y=57.90 Text["あああああああああ" asc=10.80 desc=3.60]
  x=156.00 y=72.30 Text["あああああああああ" asc=10.80 desc=3.60]
  x=156.00 y=86.70 Text["あああああああああ" asc=10.80 desc=3.60]
  x=156.00 y=101.10 Text["あああああああああ" asc=10.80 desc=3.60]
  x=156.00 y=115.50 Text["あああああああああ" asc=10.80 desc=3.60]
  x=156.00 y=129.90 Text["あああああああああ" asc=10.80 desc=3.60]
  x=156.00 y=144.30 Text["あああああああああ" asc=10.80 desc=3.60]
  x=156.00 y=158.70 Text["あああああああああ" asc=10.80 desc=3.60]
  x=156.00 y=173.10 Text["あああああああああ" asc=10.80 desc=3.60]
  x=156.00 y=187.50 Text["あああああああああ" asc=10.80 desc=3.60]
  x=156.00 y=201.90 Text["あああああああああ" asc=10.80 desc=3.60]
  x=156.00 y=216.30 Text["ああ" asc=10.80 desc=3.60]
