drawer z=0
  x=0.00 y=0.00 AbsoluteRectFrame[w=300.00 h=208.40]
  x=5.00 y=5.00 AbsoluteRectFrame[w=290.00 h=198.40]
  x=10.00 y=10.00 AbsoluteRectFrame[w=280.00 h=188.40]
  x=25.00 y=25.00 Text["いいいいいいいいい" asc=10.80 desc=3.60]
  x=25.00 y=39.40 Text["ろろろろろろろろろ" asc=10.80 desc=3.60]
  x=25.00 y=53.80 Text["ははははははははは" asc=10.80 desc=3.60]
  x=25.00 y=68.20 Text["いいいいいいいいい" asc=10.80 desc=3.60]
  x=25.00 y=82.60 Text["ろろろろろろろろろ" asc=10.80 desc=3.60]
  x=25.00 y=97.00 Text["ははははははははは" asc=10.80 desc=3.60]
  x=25.00 y=111.40 Text["いいいいいいいいい" asc=10.80 desc=3.60]
  x=25.00 y=125.80 Text["ろろろろろろろろろ" asc=10.80 desc=3.60]
  x=25.00 y=140.20 Text["ははははははははは" asc=10.80 desc=3.60]
  x=25.00 y=154.60 Text["いいいいいいいいい" asc=10.80 desc=3.60]
  x=25.00 y=169.00 Text["ろろろろろろろろろ" asc=10.80 desc=3.60]
  x=156.00 y=25.00 Text["ははははははははは" asc=10.80 desc=3.60]
  x=156.00 y=39.40 Text["いいいいいいいいい" asc=10.80 desc=3.60]
  x=156.00 y=53.80 Text["ろろろろろろろろろ" asc=10.80 desc=3.60]
  x=156.00 y=68.20 Text["ははははははははは" asc=10.80 desc=3.60]
  x=156.00 y=82.60 Text["いいいいいいいいい" asc=10.80 desc=3.60]
  x=156.00 y=97.00 Text["ろろろろろろろろろ" asc=10.80 desc=3.60]
  x=156.00 y=111.40 Text["ははははははははは" asc=10.80 desc=3.60]
  x=156.00 y=125.80 Text["いいいいいいいいい" asc=10.80 desc=3.60]
  x=156.00 y=140.20 Text["ろろろろろろろろろ" asc=10.80 desc=3.60]
  x=156.00 y=154.60 Text["ははははははははは" asc=10.80 desc=3.60]
