drawer z=0
  x=0.00 y=0.00 AbsoluteRectFrame[w=300.00 h=199.31]
  x=5.00 y=5.00 AbsoluteRectFrame[w=290.00 h=189.31]
  x=110.67 y=20.00 AbsoluteRectFrame[w=78.67 h=88.40]
  x=20.00 y=20.00 Text["いいいい" asc=10.91 desc=3.60]
  x=71.00 y=20.00 Text["いい" asc=10.91 desc=3.60]
  x=20.00 y=34.51 Text["いい" asc=10.91 desc=3.60]
  x=47.00 y=34.51 Text["いいいい" asc=10.91 desc=3.60]
  x=20.00 y=49.03 Text["いいいい" asc=10.91 desc=3.60]
  x=71.00 y=49.03 Text["いい" asc=10.91 desc=3.60]
  x=20.00 y=63.54 Text["いい" asc=10.91 desc=3.60]
  x=47.00 y=63.54 Text["いいいい" asc=10.91 desc=3.60]
  x=20.00 y=78.05 Text["いいいい" asc=10.91 desc=3.60]
  x=71.00 y=78.05 Text["いい" asc=10.91 desc=3.60]
  x=20.00 y=92.57 Text["いい" asc=10.80 desc=3.60]
  x=111.67 y=21.00 Text["ろろろろろろ" asc=10.80 desc=3.60]
  x=111.67 y=35.40 Text["ろ" asc=10.80 desc=3.60]
  x=111.67 y=49.80 Text["ろろろろろろ" asc=10.80 desc=3.60]
  x=111.67 y=64.20 Text["ろ" asc=10.80 desc=3.60]
  x=111.67 y=78.60 Text["ろろろろろろ" asc=10.80 desc=3.60]
  x=111.67 y=93.00 Text["ろ" asc=10.80 desc=3.60]
  x=110.67 y=108.40 Text["はははは" asc=10.91 desc=3.60]
  x=161.67 y=108.40 Text["はは" asc=10.91 desc=3.60]
  x=110.67 y=122.91 Text["はは" asc=10.91 desc=3.60]
  x=137.67 y=122.91 Text["はははは" asc=10.91 desc=3.60]
  x=110.67 y=137.43 Text["はははは" asc=10.91 desc=3.60]
  x=161.67 y=137.43 Text["はは" asc=10.91 desc=3.60]
  x=110.67 y=151.94 Text["はは" asc=10.91 desc=3.60]
  x=137.67 y=151.94 Text["はははは" asc=10.91 desc=3.60]
  x=201.33 y=20.00 Text["はははは" asc=10.91 desc=3.60]
  x=252.33 y=20.00 Text["はは" asc=10.91 desc=3.60]
  x=201.33 y=34.51 Text["はは" asc=10.80 desc=3.60]
  x=201.33 y=48.91 Text["にににに" asc=10.91 desc=3.60]
  x=252.33 y=48.91 Text["にに" asc=10.91 desc=3.60]
  x=201.33 y=63.43 Text["にに" asc=10.91 desc=3.60]
  x=228.33 y=63.43 Text["にににに" asc=10.91 desc=3.60]
  x=201.33 y=77.94 Text["にににに" asc=10.91 desc=3.60]
  x=252.33 y=77.94 Text["にに" asc=10.91 desc=3.60]
  x=201.33 y=92.45 Text["にに" asc=10.91 desc=3.60]
  x=228.33 y=92.45 Text["にににに" asc=10.91 desc=3.60]
  x=201.33 y=106.97 Text["にににに" asc=10.91 desc=3.60]
  x=252.33 y=106.97 Text["にに" asc=10.91 desc=3.60]
  x=201.33 y=121.48 Text["にに" asc=10.80 desc=3.60]
  x=201.33 y=135.88 Text["ほほほほ" asc=10.91 desc=3.60]
  x=252.33 y=135.88 Text["ほほ" asc=10.91 desc=3.60]
  x=201.33 y=150.39 Text["ほほ" asc=10.91 desc=3.60]
  x=228.33 y=150.39 Text["ほほほほ" asc=10.91 desc=3.60]
  x=201.33 y=164.91 Text["ほほほほ" asc=10.80 desc=3.60]
