drawer z=0
  x=0.00 y=0.00 AbsoluteRectFrame[w=300.00 h=92.60]
  x=5.00 y=5.00 AbsoluteRectFrame[w=290.00 h=82.60]
  x=17.00 y=45.80 AbsoluteRectFrame[w=127.00 h=29.80]
  x=156.00 y=17.00 AbsoluteRectFrame[w=127.00 h=44.20]
  x=17.00 y=17.00 Text["いいいいいいい" asc=10.80 desc=3.60]
  x=17.00 y=31.40 Text["ろろろろろろろ" asc=10.80 desc=3.60]
  x=157.00 y=17.00 Text["にににに" asc=10.80 desc=3.60]
  x=157.00 y=31.40 Text["ににに" asc=10.80 desc=3.60]
  x=225.50 y=17.00 Text["ほほほほ" asc=10.80 desc=3.60]
  x=225.50 y=31.40 Text["ほほほ" asc=10.80 desc=3.60]
  x=294.00 y=17.00 Text["はははは" asc=10.80 desc=3.60]
  x=294.00 y=31.40 Text["ははは" asc=10.80 desc=3.60]
  x=156.00 y=61.20 Text["へへへへへへへ" asc=10.80 desc=3.60]
  x=295.00 y=17.00 Text["ととととととと" asc=10.80 desc=3.60]
