drawer z=0
  x=91.60 y=0.00 AbsoluteRectFrame[w=208.40 h=300.00]
  x=96.60 y=5.00 AbsoluteRectFrame[w=198.40 h=290.00]
  x=101.60 y=10.00 AbsoluteRectFrame[w=188.40 h=280.00]
  x=260.60 y=25.00 Text["いいいいいいいいい" asc=7.20 desc=7.20]
  x=246.20 y=25.00 Text["ろろろろろろろろろ" asc=7.20 desc=7.20]
  x=231.80 y=25.00 Text["ははははははははは" asc=7.20 desc=7.20]
  x=217.40 y=25.00 Text["いいいいいいいいい" asc=7.20 desc=7.20]
  x=203.00 y=25.00 Text["ろろろろろろろろろ" asc=7.20 desc=7.20]
  x=188.60 y=25.00 Text["ははははははははは" asc=7.20 desc=7.20]
  x=174.20 y=25.00 Text["いいいいいいいいい" asc=7.20 desc=7.20]
  x=159.80 y=25.00 Text["ろろろろろろろろろ" asc=7.20 desc=7.20]
  x=145.40 y=25.00 Text["ははははははははは" asc=7.20 desc=7.20]
  x=131.00 y=25.00 Text["いいいいいいいいい" asc=7.20 desc=7.20]
  x=116.60 y=25.00 Text["ろろろろろろろろろ" asc=7.20 desc=7.20]
  x=260.60 y=156.00 Text["ははははははははは" asc=7.20 desc=7.20]
  x=246.20 y=156.00 Text["いいいいいいいいい" asc=7.20 desc=7.20]
  x=231.80 y=156.00 Text["ろろろろろろろろろ" asc=7.20 desc=7.20]
  x=217.40 y=156.00 Text["ははははははははは" asc=7.20 desc=7.20]
  x=203.00 y=156.00 Text["いいいいいいいいい" asc=7.20 desc=7.20]
  x=188.60 y=156.00 Text["ろろろろろろろろろ" asc=7.20 desc=7.20]
  x=174.20 y=156.00 Text["ははははははははは" asc=7.20 desc=7.20]
  x=159.80 y=156.00 Text["いいいいいいいいい" asc=7.20 desc=7.20]
  x=145.40 y=156.00 Text["ろろろろろろろろろ" asc=7.20 desc=7.20]
  x=131.00 y=156.00 Text["ははははははははは" asc=7.20 desc=7.20]
