drawer z=0
  x=0.00 y=224.00 FootnoteLabel["1. " w=15.00 h=10.00]
  x=15.00 y=224.00 Text["横書きの注一。次のページの地に置く。" asc=10.00 desc=4.00]
  x=0.00 y=238.00 FootnoteLabel["2. " w=15.00 h=10.00]
  x=15.00 y=238.00 Text["横書きの注二。番号は呼び出し順を保つ。" asc=10.00 desc=4.00]
  x=234.00 y=0.00 Text["ノンブルは余白の中央に置きます。" asc=9.00 desc=9.00]
  x=216.00 y=0.00 Text["本文の行は帯の手前で折り返します。" asc=9.00 desc=9.00]
  x=198.00 y=0.00 Text["縦の本文を読み進めます。" asc=9.00 desc=9.00]
  x=180.00 y=0.00 Text["脚注の向きは横書きです。" asc=9.00 desc=9.00]
  x=162.00 y=0.00 Text["呼び出しは一ページ目にあります。" asc=9.00 desc=9.00]
  x=144.00 y=0.00 Text["注の本文は次のページへ送ります。" asc=9.00 desc=9.00]
  x=126.00 y=0.00 Text["用紙の余白の広さは変えません。" asc=9.00 desc=9.00]
  x=108.00 y=0.00 Text["ノンブルは余白の中央に置きます。" asc=9.00 desc=9.00]
  x=90.00 y=0.00 Text["本文の終わりです。" asc=9.00 desc=9.00]
  x=0.00 y=220.75 artifact FootnoteSeparator[w=84.00 h=0.50]
  x=123.50 y=258.00 Text["2" asc=8.59 desc=3.41]
