drawer z=0
  x=0.00 y=0.00 FootnoteLabel["1. " w=15.00 h=10.00]
  x=0.00 y=10.00 Text["上段の注。" asc=7.50 desc=7.50]
  x=14.00 y=132.00 FootnoteLabel["2. " w=15.00 h=10.00]
  x=14.00 y=142.00 Text["頁末の注。頁末の注。頁" asc=7.50 desc=7.50]
  x=0.00 y=132.00 Text["末の注。" asc=7.00 desc=7.00]
  x=234.00 y=0.00 Text["上段呼出" asc=9.00 desc=9.00]
  x=247.69 y=48.00 FootnoteLabel["1" w=4.15 h=8.30]
  x=234.00 y=56.30 Text["本文。" asc=9.00 desc=9.00]
  x=216.00 y=0.00 Text["上段甲。" asc=9.00 desc=9.00]
  x=198.00 y=0.00 Text["上段乙。" asc=9.00 desc=9.00]
  x=180.00 y=0.00 Text["上段丙。" asc=9.00 desc=9.00]
  x=162.00 y=0.00 Text["上段丁。" asc=9.00 desc=9.00]
  x=234.00 y=132.00 Text["下段開始。" asc=9.00 desc=9.00]
  x=216.00 y=132.00 Text["下段甲。" asc=9.00 desc=9.00]
  x=198.00 y=132.00 Text["下段乙。" asc=9.00 desc=9.00]
  x=180.00 y=132.00 Text["下段丙。" asc=9.00 desc=9.00]
  x=162.00 y=132.00 Text["下段丁。" asc=9.00 desc=9.00]
  x=144.00 y=132.00 Text["下段戊。" asc=9.00 desc=9.00]
  x=126.00 y=132.00 Text["下段己。" asc=9.00 desc=9.00]
  x=108.00 y=132.00 Text["末尾呼出" asc=9.00 desc=9.00]
  x=121.69 y=180.00 FootnoteLabel["2" w=4.15 h=8.30]
  x=108.00 y=188.30 Text["本文。" asc=9.00 desc=9.00]
  x=90.00 y=132.00 Text["続き甲。" asc=9.00 desc=9.00]
  x=72.00 y=132.00 Text["続き乙。" asc=9.00 desc=9.00]
  x=54.00 y=132.00 Text["続き丙。" asc=9.00 desc=9.00]
  x=36.00 y=132.00 Text["続き丁。" asc=9.00 desc=9.00]
  x=17.75 y=0.00 artifact FootnoteSeparator[w=0.50 h=40.00]
  x=31.75 y=132.00 artifact FootnoteSeparator[w=0.50 h=40.00]
