drawer z=0
  x=0.00 y=117.00 FootnoteLabel["1. " w=20.00 h=10.00]
  x=20.00 y=117.00 Text["N1" asc=10.00 desc=3.00]
  x=0.00 y=91.00 AbsoluteRectFrame[w=80.00 h=20.00]
  x=0.00 y=91.00 Text["BOTTOM" asc=9.00 desc=3.00]
  x=0.00 y=0.00 Text["L01" asc=9.00 desc=3.00]
  x=0.00 y=12.00 Text["L02" asc=17.32 desc=3.00]
  x=15.00 y=12.00 FootnoteLabel["1" w=4.15 h=8.30]
  x=0.00 y=32.32 Text["L03" asc=9.00 desc=3.00]
  x=0.00 y=44.32 Text["L04" asc=9.00 desc=3.00]
  x=0.00 y=56.32 Text["L05" asc=9.00 desc=3.00]
  x=0.00 y=68.32 Text["L06" asc=9.00 desc=3.00]
  x=80.00 y=80.32 Text["L07" asc=9.00 desc=3.00]
  x=80.00 y=92.32 Text["L08" asc=9.00 desc=3.00]
  x=0.00 y=113.75 artifact FootnoteSeparator[w=60.00 h=0.50]
