drawer z=0
  x=0.00 y=0.00 AbsoluteRectFrame[w=200.00 h=100.00]
  x=1.40 y=0.90 BackgroundBorder[w=68.74 h=6.20]
  x=70.14 y=0.90 BackgroundBorder[w=70.86 h=6.20]
  x=1.40 y=7.10 BackgroundBorder[w=68.74 h=9.10]
  x=70.14 y=7.10 BackgroundBorder[w=70.86 h=9.10]
  x=1.40 y=16.20 BackgroundBorder[w=68.74 h=9.10]
  x=70.14 y=16.20 BackgroundBorder[w=70.86 h=9.10]
  x=1.40 y=25.30 BackgroundBorder[w=68.74 h=9.10]
  x=70.14 y=25.30 BackgroundBorder[w=70.86 h=9.10]
  x=1.40 y=34.40 BackgroundBorder[w=68.74 h=9.10]
  x=70.14 y=34.40 BackgroundBorder[w=70.86 h=9.10]
  x=1.40 y=43.50 BackgroundBorder[w=68.74 h=9.10]
  x=70.14 y=43.50 BackgroundBorder[w=70.86 h=9.10]
  x=1.20 y=0.70 TableBorder[w=140.00 h=52.10]
  x=32.10 y=1.00 Text["H0" asc=4.55 desc=1.45]
  x=101.90 y=1.00 Text["H1" asc=4.55 desc=1.45]
  x=1.50 y=8.65 Text["r43a" asc=4.55 desc=1.45]
  x=70.24 y=8.65 Text["r43b" asc=4.55 desc=1.45]
  x=1.50 y=17.75 Text["r44a" asc=4.55 desc=1.45]
  x=70.24 y=17.75 Text["r44b" asc=4.55 desc=1.45]
  x=1.50 y=26.85 Text["r45a" asc=4.55 desc=1.45]
  x=70.24 y=26.85 Text["r45b" asc=4.55 desc=1.45]
  x=1.50 y=35.95 Text["r46a" asc=4.55 desc=1.45]
  x=70.24 y=35.95 Text["r46b" asc=4.55 desc=1.45]
  x=1.50 y=45.05 Text["r47a" asc=4.55 desc=1.45]
  x=70.24 y=45.05 Text["r47b" asc=4.55 desc=1.45]
  x=53.12 y=54.10 Text["bottom" asc=6.10 desc=3.00]
  x=71.62 y=54.10 Text["caption" asc=6.10 desc=3.00]
  x=61.78 y=63.20 Text["last" asc=6.10 desc=3.00]
  x=71.62 y=63.20 Text["line" asc=6.10 desc=3.00]
  x=0.10 y=74.00 Text["after" asc=4.55 desc=1.45]
  x=12.59 y=74.00 Text["bottom" asc=4.55 desc=1.45]
