drawer z=0
  x=0.00 y=0.00 AbsoluteRectFrame[w=200.00 h=80.50]
  x=1.40 y=0.90 BackgroundBorder[w=68.74 h=6.98]
  x=70.14 y=0.90 BackgroundBorder[w=70.86 h=6.98]
  x=1.40 y=7.88 BackgroundBorder[w=68.74 h=16.89]
  x=70.14 y=7.88 BackgroundBorder[w=70.86 h=16.89]
  x=1.40 y=24.78 BackgroundBorder[w=68.74 h=16.89]
  x=70.14 y=24.78 BackgroundBorder[w=70.86 h=16.89]
  x=1.40 y=41.67 BackgroundBorder[w=68.74 h=16.89]
  x=70.14 y=41.67 BackgroundBorder[w=70.86 h=16.89]
  x=1.40 y=58.56 BackgroundBorder[w=68.74 h=16.89]
  x=70.14 y=58.56 BackgroundBorder[w=70.86 h=16.89]
  x=1.20 y=0.70 TableBorder[w=140.00 h=74.96]
  x=32.10 y=1.39 Text["H0" asc=4.55 desc=1.45]
  x=101.90 y=1.39 Text["H1" asc=4.55 desc=1.45]
  x=1.50 y=13.33 Text["r44a" asc=4.55 desc=1.45]
  x=70.24 y=13.33 Text["r44b" asc=4.55 desc=1.45]
  x=1.50 y=30.22 Text["r45a" asc=4.55 desc=1.45]
  x=70.24 y=30.22 Text["r45b" asc=4.55 desc=1.45]
  x=1.50 y=47.12 Text["r46a" asc=4.55 desc=1.45]
  x=70.24 y=47.12 Text["r46b" asc=4.55 desc=1.45]
  x=1.50 y=64.01 Text["r47a" asc=4.55 desc=1.45]
  x=70.24 y=64.01 Text["r47b" asc=4.55 desc=1.45]
  x=0.10 y=0.40 Text["after" asc=4.55 desc=1.45]
  x=12.59 y=0.40 Text["proportional" asc=4.55 desc=1.45]
