drawer z=0
  x=0.00 y=0.00 AbsoluteRectFrame[w=45.00 h=93.61]
  x=0.00 y=93.61 AbsoluteRectFrame[w=45.00 h=34.80]
  x=0.00 y=0.00 Text["hy" asc=10.31 desc=4.09]
  x=12.06 y=0.00 Text["ph-en-" asc=10.31 desc=4.09]
  x=0.00 y=14.40 Text["at" asc=10.31 desc=4.09]
  x=8.66 y=14.40 Text["ion" asc=10.31 desc=4.09]
  x=24.00 y=14.40 Text["al-" asc=10.31 desc=4.09]
  x=0.00 y=28.80 Text["go-ri" asc=10.91 desc=4.09]
  x=23.33 y=28.80 Text["thm" asc=10.91 desc=4.09]
  x=0.00 y=43.81 Text["ty" asc=10.31 desc=4.09]
  x=9.34 y=43.81 Text["po" asc=10.31 desc=4.09]
  x=21.34 y=43.81 Text["gra-" asc=10.31 desc=4.09]
  x=0.00 y=58.21 Text["phy" asc=10.91 desc=4.09]
  x=21.06 y=58.21 Text["co-" asc=10.91 desc=4.09]
  x=0.00 y=73.21 Text["m" asc=10.31 desc=4.09]
  x=9.34 y=73.21 Text["pu" asc=10.31 desc=4.09]
  x=21.34 y=73.21 Text["ter" asc=10.31 desc=4.09]
  x=0.00 y=93.61 Text["supercalifragilistic-" asc=10.31 desc=4.09]
  x=0.00 y=108.01 Text["expialidocious" asc=10.31 desc=4.09]
