drawer z=0
  x=0.00 y=0.00 AbsoluteRectFrame[w=100.00 h=82.00]
  x=110.00 y=0.00 AbsoluteRectFrame[w=100.00 h=82.00]
  x=0.00 y=92.00 AbsoluteRectFrame[w=100.00 h=82.00]
  x=110.00 y=92.00 AbsoluteRectFrame[w=100.00 h=82.00]
  x=0.00 y=184.00 AbsoluteRectFrame[w=100.00 h=82.00]
  x=110.00 y=184.00 AbsoluteRectFrame[w=100.00 h=82.00]
  x=0.00 y=276.00 AbsoluteRectFrame[w=100.00 h=82.00]
  x=110.00 y=276.00 AbsoluteRectFrame[w=100.00 h=82.00]
  x=0.00 y=368.00 AbsoluteRectFrame[w=100.00 h=82.00]
  x=110.00 y=368.00 AbsoluteRectFrame[w=100.00 h=82.00]
  x=0.00 y=460.00 AbsoluteRectFrame[w=100.00 h=82.00]
  x=110.00 y=460.00 AbsoluteRectFrame[w=100.00 h=82.00]
  x=0.00 y=552.00 AbsoluteRectFrame[w=100.00 h=82.00]
  x=110.00 y=552.00 AbsoluteRectFrame[w=100.00 h=82.00]
  x=0.00 y=644.00 AbsoluteRectFrame[w=100.00 h=82.00]
  x=110.00 y=644.00 AbsoluteRectFrame[w=100.00 h=82.00]
  x=0.00 y=736.00 AbsoluteRectFrame[w=100.00 h=33.89]
  x=110.00 y=736.00 AbsoluteRectFrame[w=100.00 h=33.89]
  x=1.00 y=1.00 Text["r1a" asc=10.31 desc=4.09]
  x=111.00 y=1.00 Text["r1b" asc=10.31 desc=4.09]
  x=1.00 y=93.00 Text["r2a" asc=10.31 desc=4.09]
  x=111.00 y=93.00 Text["r2b" asc=10.31 desc=4.09]
  x=1.00 y=185.00 Text["r3a" asc=10.31 desc=4.09]
  x=111.00 y=185.00 Text["r3b" asc=10.31 desc=4.09]
  x=1.00 y=277.00 Text["r4a" asc=10.31 desc=4.09]
  x=111.00 y=277.00 Text["r4b" asc=10.31 desc=4.09]
  x=1.00 y=369.00 Text["r5a" asc=10.31 desc=4.09]
  x=111.00 y=369.00 Text["r5b" asc=10.31 desc=4.09]
  x=1.00 y=461.00 Text["r6a" asc=10.31 desc=4.09]
  x=111.00 y=461.00 Text["r6b" asc=10.31 desc=4.09]
  x=1.00 y=553.00 Text["r7a" asc=10.31 desc=4.09]
  x=111.00 y=553.00 Text["r7b" asc=10.31 desc=4.09]
  x=1.00 y=645.00 Text["r8a" asc=10.31 desc=4.09]
  x=111.00 y=645.00 Text["r8b" asc=10.31 desc=4.09]
  x=1.00 y=737.00 Text["r9a" asc=10.31 desc=4.09]
  x=111.00 y=737.00 Text["r9b" asc=10.31 desc=4.09]
