drawer z=0
  x=0.00 y=0.00 AbsoluteRectFrame[w=200.00 h=32.00]
  x=0.00 y=0.00 AbsoluteRectFrame[w=200.00 h=12.00]
  x=0.00 y=12.00 AbsoluteRectFrame[w=200.00 h=12.00]
  x=0.00 y=32.00 AbsoluteRectFrame[w=200.00 h=20.00]
  x=0.00 y=32.00 AbsoluteRectFrame[w=50.00 h=12.00]
  x=50.00 y=32.00 AbsoluteRectFrame[w=50.00 h=12.00]
  x=100.00 y=32.00 AbsoluteRectFrame[w=50.00 h=12.00]
  x=150.00 y=32.00 AbsoluteRectFrame[w=50.00 h=12.00]
  x=0.00 y=44.00 AbsoluteRectFrame[w=200.00 h=32.00]
  x=0.00 y=44.00 AbsoluteRectFrame[w=9.44 h=12.00]
  x=13.44 y=44.00 AbsoluteRectFrame[w=186.56 h=24.00]
  x=0.00 y=68.00 AbsoluteRectFrame[w=200.00 h=20.00]
  x=0.00 y=68.00 AbsoluteRectFrame[w=9.44 h=12.00]
  x=13.44 y=68.00 AbsoluteRectFrame[w=173.12 h=12.00]
  x=190.56 y=68.00 AbsoluteRectFrame[w=9.44 h=12.00]
  x=0.00 y=80.00 AbsoluteRectFrame[w=200.00 h=20.00]
  x=0.00 y=80.00 AbsoluteRectFrame[w=80.00 h=12.00]
  x=90.00 y=80.00 AbsoluteRectFrame[w=80.00 h=12.00]
  x=0.00 y=0.00 Text["one" asc=8.59 desc=3.41]
  x=0.00 y=12.00 Text["two" asc=8.59 desc=3.41]
  x=0.00 y=32.00 Text["a" asc=8.59 desc=3.41]
  x=50.00 y=32.00 Text["b" asc=8.59 desc=3.41]
  x=100.00 y=32.00 Text["c" asc=8.59 desc=3.41]
  x=150.00 y=32.00 Text["d" asc=8.59 desc=3.41]
  x=0.00 y=44.00 Text["ab" asc=8.59 desc=3.41]
  x=13.44 y=44.00 Text["the" asc=8.59 desc=3.41]
  x=28.16 y=44.00 Text["rest" asc=8.59 desc=3.41]
  x=45.10 y=44.00 Text["of" asc=8.59 desc=3.41]
  x=55.93 y=44.00 Text["the" asc=8.59 desc=3.41]
  x=70.65 y=44.00 Text["row" asc=8.59 desc=3.41]
  x=88.95 y=44.00 Text["goes" asc=8.59 desc=3.41]
  x=109.78 y=44.00 Text["here" asc=8.59 desc=3.41]
  x=129.49 y=44.00 Text["and" asc=8.59 desc=3.41]
  x=146.43 y=44.00 Text["wraps" asc=8.59 desc=3.41]
  x=172.81 y=44.00 Text["if" asc=8.59 desc=3.41]
  x=13.44 y=56.00 Text["needed" asc=8.59 desc=3.41]
  x=0.00 y=68.00 Text["ab" asc=8.59 desc=3.41]
  x=13.44 y=68.00 Text["middle" asc=8.59 desc=3.41]
  x=43.72 y=68.00 Text["text" asc=8.59 desc=3.41]
  x=61.37 y=68.00 Text["that" asc=8.59 desc=3.41]
  x=78.87 y=68.00 Text["can" asc=8.59 desc=3.41]
  x=95.25 y=68.00 Text["wrap" asc=8.59 desc=3.41]
  x=117.74 y=68.00 Text["freely" asc=8.59 desc=3.41]
  x=190.56 y=68.00 Text["cd" asc=8.59 desc=3.41]
  x=0.00 y=80.00 Text["x" asc=8.59 desc=3.41]
  x=90.00 y=80.00 Text["y" asc=8.59 desc=3.41]
  x=0.00 y=92.00 Text["after" asc=8.59 desc=3.41]
