drawer z=0
  x=0.00 y=36.12 AbsoluteRectFrame[w=90.75 h=32.00]
  x=93.75 y=36.12 AbsoluteRectFrame[w=90.75 h=32.00]
  x=187.50 y=36.12 AbsoluteRectFrame[w=90.75 h=32.00]
  x=281.25 y=36.12 AbsoluteRectFrame[w=90.75 h=32.00]
  x=0.00 y=71.12 AbsoluteRectFrame[w=90.75 h=32.00]
  x=93.75 y=71.12 AbsoluteRectFrame[w=90.75 h=32.00]
  x=187.50 y=71.12 AbsoluteRectFrame[w=90.75 h=32.00]
  x=281.25 y=71.12 AbsoluteRectFrame[w=90.75 h=32.00]
  x=0.00 y=106.12 AbsoluteRectFrame[w=90.75 h=32.00]
  x=93.75 y=106.12 AbsoluteRectFrame[w=90.75 h=32.00]
  x=187.50 y=106.12 AbsoluteRectFrame[w=90.75 h=32.00]
  x=281.25 y=106.12 AbsoluteRectFrame[w=90.75 h=32.00]
  x=0.00 y=141.12 AbsoluteRectFrame[w=90.75 h=32.00]
  x=93.75 y=141.12 AbsoluteRectFrame[w=90.75 h=32.00]
  x=187.50 y=141.12 AbsoluteRectFrame[w=90.75 h=32.00]
  x=281.25 y=141.12 AbsoluteRectFrame[w=90.75 h=32.00]
  x=0.00 y=176.12 AbsoluteRectFrame[w=90.75 h=32.00]
  x=93.75 y=176.12 AbsoluteRectFrame[w=90.75 h=32.00]
  x=187.50 y=176.12 AbsoluteRectFrame[w=90.75 h=32.00]
  x=281.25 y=176.12 AbsoluteRectFrame[w=90.75 h=32.00]
  x=0.00 y=211.12 AbsoluteRectFrame[w=90.75 h=32.00]
  x=93.75 y=211.12 AbsoluteRectFrame[w=90.75 h=32.00]
  x=187.50 y=211.12 AbsoluteRectFrame[w=90.75 h=32.00]
  x=281.25 y=211.12 AbsoluteRectFrame[w=90.75 h=32.00]
  x=0.00 y=246.12 AbsoluteRectFrame[w=90.75 h=32.00]
  x=93.75 y=246.12 AbsoluteRectFrame[w=90.75 h=32.00]
  x=187.50 y=246.12 AbsoluteRectFrame[w=90.75 h=32.00]
  x=281.25 y=246.12 AbsoluteRectFrame[w=90.75 h=32.00]
  x=0.00 y=281.12 AbsoluteRectFrame[w=90.75 h=32.00]
  x=93.75 y=281.12 AbsoluteRectFrame[w=90.75 h=32.00]
  x=187.50 y=281.12 AbsoluteRectFrame[w=90.75 h=32.00]
  x=281.25 y=281.12 AbsoluteRectFrame[w=90.75 h=32.00]
  x=0.00 y=316.12 AbsoluteRectFrame[w=90.75 h=32.00]
  x=93.75 y=316.12 AbsoluteRectFrame[w=90.75 h=32.00]
  x=187.50 y=316.12 AbsoluteRectFrame[w=90.75 h=32.00]
  x=281.25 y=316.12 AbsoluteRectFrame[w=90.75 h=32.00]
  x=0.00 y=351.12 AbsoluteRectFrame[w=90.75 h=32.00]
  x=93.75 y=351.12 AbsoluteRectFrame[w=90.75 h=32.00]
  x=187.50 y=351.12 AbsoluteRectFrame[w=90.75 h=32.00]
  x=281.25 y=351.12 AbsoluteRectFrame[w=90.75 h=32.00]
  x=0.00 y=386.12 AbsoluteRectFrame[w=90.75 h=32.00]
  x=93.75 y=386.12 AbsoluteRectFrame[w=90.75 h=32.00]
  x=187.50 y=386.12 AbsoluteRectFrame[w=90.75 h=32.00]
  x=281.25 y=386.12 AbsoluteRectFrame[w=90.75 h=32.00]
  x=0.00 y=421.12 AbsoluteRectFrame[w=90.75 h=32.00]
  x=93.75 y=421.12 AbsoluteRectFrame[w=90.75 h=32.00]
  x=187.50 y=421.12 AbsoluteRectFrame[w=90.75 h=32.00]
  x=281.25 y=421.12 AbsoluteRectFrame[w=90.75 h=32.00]
  x=0.00 y=456.12 AbsoluteRectFrame[w=90.75 h=32.00]
  x=93.75 y=456.12 AbsoluteRectFrame[w=90.75 h=32.00]
  x=187.50 y=456.12 AbsoluteRectFrame[w=90.75 h=32.00]
  x=281.25 y=456.12 AbsoluteRectFrame[w=90.75 h=32.00]
  x=0.00 y=491.12 AbsoluteRectFrame[w=90.75 h=32.00]
  x=93.75 y=491.12 AbsoluteRectFrame[w=90.75 h=32.00]
  x=187.50 y=491.12 AbsoluteRectFrame[w=90.75 h=32.00]
  x=281.25 y=491.12 AbsoluteRectFrame[w=90.75 h=32.00]
  x=0.00 y=12.06 Text["Huge" asc=10.66 desc=1.34]
  x=43.49 y=12.06 Text["Grid:" asc=10.66 desc=1.34]
  x=85.99 y=12.06 Text["3072" asc=10.66 desc=1.34]
  x=126.49 y=12.06 Text["items" asc=10.66 desc=1.34]
  x=4.00 y=40.12 Text["Item" asc=8.33 desc=3.67]
  x=22.75 y=40.12 Text["0001" asc=8.33 desc=3.67]
  x=4.00 y=52.12 Text["range" asc=8.33 desc=3.67]
  x=26.24 y=52.12 Text["retention" asc=8.33 desc=3.67]
  x=97.75 y=40.12 Text["Item" asc=8.33 desc=3.67]
  x=116.50 y=40.12 Text["0002" asc=8.33 desc=3.67]
  x=97.75 y=52.12 Text["range" asc=8.33 desc=3.67]
  x=119.99 y=52.12 Text["retention" asc=8.33 desc=3.67]
  x=191.50 y=40.12 Text["Item" asc=8.33 desc=3.67]
  x=210.25 y=40.12 Text["0003" asc=8.33 desc=3.67]
  x=191.50 y=52.12 Text["range" asc=8.33 desc=3.67]
  x=213.74 y=52.12 Text["retention" asc=8.33 desc=3.67]
  x=285.25 y=40.12 Text["Item" asc=8.33 desc=3.67]
  x=304.00 y=40.12 Text["0004" asc=8.33 desc=3.67]
  x=285.25 y=52.12 Text["range" asc=8.33 desc=3.67]
  x=307.49 y=52.12 Text["retention" asc=8.33 desc=3.67]
  x=4.00 y=75.12 Text["Item" asc=8.33 desc=3.67]
  x=22.75 y=75.12 Text["0005" asc=8.33 desc=3.67]
  x=4.00 y=87.12 Text["range" asc=8.33 desc=3.67]
  x=26.24 y=87.12 Text["retention" asc=8.33 desc=3.67]
  x=97.75 y=75.12 Text["Item" asc=8.33 desc=3.67]
  x=116.50 y=75.12 Text["0006" asc=8.33 desc=3.67]
  x=97.75 y=87.12 Text["range" asc=8.33 desc=3.67]
  x=119.99 y=87.12 Text["retention" asc=8.33 desc=3.67]
  x=191.50 y=75.12 Text["Item" asc=8.33 desc=3.67]
  x=210.25 y=75.12 Text["0007" asc=8.33 desc=3.67]
  x=191.50 y=87.12 Text["range" asc=8.33 desc=3.67]
  x=213.74 y=87.12 Text["retention" asc=8.33 desc=3.67]
  x=285.25 y=75.12 Text["Item" asc=8.33 desc=3.67]
  x=304.00 y=75.12 Text["0008" asc=8.33 desc=3.67]
  x=285.25 y=87.12 Text["range" asc=8.33 desc=3.67]
  x=307.49 y=87.12 Text["retention" asc=8.33 desc=3.67]
  x=4.00 y=110.12 Text["Item" asc=8.33 desc=3.67]
  x=22.75 y=110.12 Text["0009" asc=8.33 desc=3.67]
  x=4.00 y=122.12 Text["range" asc=8.33 desc=3.67]
  x=26.24 y=122.12 Text["retention" asc=8.33 desc=3.67]
  x=97.75 y=110.12 Text["Item" asc=8.33 desc=3.67]
  x=116.50 y=110.12 Text["0010" asc=8.33 desc=3.67]
  x=97.75 y=122.12 Text["range" asc=8.33 desc=3.67]
  x=119.99 y=122.12 Text["retention" asc=8.33 desc=3.67]
  x=191.50 y=110.12 Text["Item" asc=8.33 desc=3.67]
  x=210.25 y=110.12 Text["0011" asc=8.33 desc=3.67]
  x=191.50 y=122.12 Text["range" asc=8.33 desc=3.67]
  x=213.74 y=122.12 Text["retention" asc=8.33 desc=3.67]
  x=285.25 y=110.12 Text["Item" asc=8.33 desc=3.67]
  x=304.00 y=110.12 Text["0012" asc=8.33 desc=3.67]
  x=285.25 y=122.12 Text["range" asc=8.33 desc=3.67]
  x=307.49 y=122.12 Text["retention" asc=8.33 desc=3.67]
  x=4.00 y=145.12 Text["Item" asc=8.33 desc=3.67]
  x=22.75 y=145.12 Text["0013" asc=8.33 desc=3.67]
  x=4.00 y=157.12 Text["range" asc=8.33 desc=3.67]
  x=26.24 y=157.12 Text["retention" asc=8.33 desc=3.67]
  x=97.75 y=145.12 Text["Item" asc=8.33 desc=3.67]
  x=116.50 y=145.12 Text["0014" asc=8.33 desc=3.67]
  x=97.75 y=157.12 Text["range" asc=8.33 desc=3.67]
  x=119.99 y=157.12 Text["retention" asc=8.33 desc=3.67]
  x=191.50 y=145.12 Text["Item" asc=8.33 desc=3.67]
  x=210.25 y=145.12 Text["0015" asc=8.33 desc=3.67]
  x=191.50 y=157.12 Text["range" asc=8.33 desc=3.67]
