drawer z=0
  x=0.00 y=168.94 AbsoluteRectFrame[w=71.00 h=176.00]
  x=0.00 y=0.00 Text["振分け前〔" asc=17.60 desc=11.00]
  x=60.00 y=2.60 Text["第一候補" asc=9.60 desc=2.40]
  x=60.00 y=14.60 Text["第二の長い候補" asc=9.60 desc=2.40]
  x=144.00 y=0.00 Text["〕振分け後" asc=17.60 desc=11.00]
  x=0.00 y=36.60 Text["添え字" asc=24.32 desc=15.03]
  x=39.00 y=43.81 Text["H" asc=17.11 desc=15.03]
  x=47.66 y=57.62 Text["2" asc=6.19 desc=1.74]
  x=51.26 y=36.60 Text["O" asc=24.32 desc=15.03]
  x=62.93 y=36.60 Text["と" asc=24.32 desc=15.03]
  x=77.93 y=36.60 Text["10" asc=24.32 desc=10.89]
  x=89.93 y=46.64 Text["3" asc=6.19 desc=1.74]
  x=96.53 y=36.60 Text["は途中で分割しない。" asc=24.32 desc=15.03]
  x=0.00 y=83.95 Text["基準行一" asc=17.60 desc=10.89]
  x=0.00 y=120.44 RubyUnit["親文字" ruby="おやもじ" w=36.00 h=12.00]
  x=36.00 y=112.44 Text["を含む基準行二" asc=17.60 desc=10.89]
  x=0.00 y=140.94 Text["基準行三" asc=17.60 desc=10.40]
  x=42.50 y=169.44 Text["縦組前〔" asc=14.00 desc=14.00]
  x=56.50 y=217.44 Text["甲案" asc=6.00 desc=6.00]
  x=44.50 y=217.44 Text["乙の案" asc=6.00 desc=6.00]
  x=42.50 y=253.44 Text["〕縦組後" asc=14.00 desc=14.00]
