drawer z=0
  x=0.00 y=0.00 AbsoluteRectFrame[w=25.20 h=48.00]
  x=0.00 y=48.00 AbsoluteRectFrame[w=30.20 h=48.00]
  x=0.00 y=96.00 AbsoluteRectFrame[w=34.20 h=48.00]
  x=0.00 y=144.00 AbsoluteRectFrame[w=34.20 h=48.00]
  x=0.00 y=192.00 AbsoluteRectFrame[w=34.20 h=48.00]
  x=0.00 y=240.00 AbsoluteRectFrame[w=34.20 h=48.00]
  x=0.00 y=288.00 AbsoluteRectFrame[w=38.20 h=48.49]
  x=0.00 y=336.49 AbsoluteRectFrame[w=47.70 h=24.49]
  x=0.00 y=4.79 Text["A" asc=10.32 desc=2.89]
  x=19.66 y=4.79 Text["B" asc=10.32 desc=2.89]
  x=0.00 y=24.00 Text["C" asc=15.11 desc=8.89]
  x=0.00 y=53.28 Text["漢" asc=10.32 desc=2.89]
  x=12.00 y=53.28 Text["字" asc=10.32 desc=2.89]
  x=24.00 y=53.28 Text["。" asc=10.32 desc=2.89]
  x=0.00 y=72.00 Text["漢" asc=15.60 desc=8.40]
  x=0.00 y=101.28 Text["漢" asc=10.32 desc=2.89]
  x=12.00 y=101.28 Text["・" asc=10.32 desc=2.89]
  x=23.00 y=101.28 Text["字" asc=10.32 desc=2.89]
  x=0.00 y=120.00 Text["仮" asc=15.60 desc=8.40]
  x=0.00 y=149.28 Text["漢" asc=10.32 desc=2.89]
  x=12.00 y=149.28 Text["（" asc=10.32 desc=2.89]
  x=22.00 y=149.28 Text["字" asc=10.32 desc=2.89]
  x=0.00 y=168.00 Text["仮" asc=15.60 desc=8.40]
  x=0.00 y=197.28 Text["漢" asc=10.32 desc=2.89]
  x=12.00 y=197.28 Text["、" asc=10.32 desc=2.89]
  x=18.00 y=197.28 Text["字" asc=10.32 desc=2.89]
  x=0.00 y=216.00 Text["仮" asc=15.60 desc=8.40]
  x=0.00 y=245.28 Text["漢" asc=10.32 desc=2.89]
  x=12.00 y=245.28 Text["。" asc=10.32 desc=2.89]
  x=18.00 y=245.28 Text["字" asc=10.32 desc=2.89]
  x=0.00 y=264.00 Text["仮" asc=15.60 desc=8.40]
  x=0.00 y=293.28 Text["漢" asc=10.32 desc=2.89]
  x=12.00 y=293.28 Text["A" asc=10.32 desc=2.89]
  x=23.33 y=293.28 Text["字" asc=10.32 desc=2.89]
  x=0.00 y=312.49 Text["仮" asc=15.60 desc=8.40]
  x=0.00 y=341.77 Text["A" asc=10.32 desc=2.89]
  x=19.66 y=341.77 Text["B" asc=10.32 desc=2.89]
  x=20.50 y=341.77 Text["漢" asc=10.32 desc=2.89]
  x=35.50 y=336.49 Text["仮" asc=15.60 desc=8.89]
