drawer z=0
  x=0.00 y=0.00 AbsoluteRectFrame[w=58.20 h=48.00]
  x=0.00 y=48.00 AbsoluteRectFrame[w=58.20 h=48.00]
  x=0.00 y=96.00 AbsoluteRectFrame[w=62.20 h=24.00]
  x=0.00 y=6.00 Text["漢" asc=10.56 desc=2.89]
  x=12.00 y=6.00 Text["字" asc=10.56 desc=2.89]
  x=24.00 y=6.00 Text["・" asc=10.56 desc=2.89]
  x=30.00 y=6.00 Text["（" asc=10.56 desc=2.89]
  x=36.60 y=6.00 Text["字" asc=10.56 desc=2.89]
  x=0.00 y=24.00 Text["仮" asc=16.56 desc=7.44]
  x=0.00 y=54.00 Text["漢" asc=10.56 desc=2.89]
  x=12.00 y=54.00 Text["文" asc=10.56 desc=2.89]
  x=24.00 y=54.00 Text["【" asc=10.56 desc=2.89]
  x=30.60 y=54.00 Text["字" asc=10.56 desc=2.89]
  x=42.60 y=54.00 Text["】" asc=10.56 desc=2.89]
  x=0.00 y=72.00 Text["仮" asc=16.56 desc=7.44]
  x=0.00 y=102.00 Text["漢" asc=10.56 desc=2.89]
  x=12.00 y=102.00 Text["字" asc=10.56 desc=2.89]
  x=24.00 y=102.00 Text["・" asc=10.56 desc=2.89]
  x=30.00 y=102.00 Text["（" asc=10.56 desc=2.89]
  x=36.60 y=102.00 Text["字" asc=10.56 desc=2.89]
  x=48.60 y=96.00 Text["仮" asc=16.56 desc=7.44]
