drawer z=0
  x=0.00 y=0.00 AbsoluteRectFrame[w=60.20 h=24.00]
  x=0.00 y=24.00 AbsoluteRectFrame[w=58.20 h=48.00]
  x=0.00 y=72.00 AbsoluteRectFrame[w=60.20 h=24.00]
  x=0.00 y=96.00 AbsoluteRectFrame[w=58.20 h=48.00]
  x=0.00 y=144.00 AbsoluteRectFrame[w=48.20 h=24.00]
  x=0.00 y=5.28 Text["漢" asc=10.32 desc=2.89]
  x=12.00 y=5.28 Text["（" asc=10.32 desc=2.89]
  x=18.00 y=5.28 Text["字" asc=10.32 desc=2.89]
  x=30.00 y=5.28 Text["）" asc=10.32 desc=2.89]
  x=42.00 y=5.28 Text["。" asc=10.32 desc=2.89]
  x=48.00 y=0.00 Text["仮" asc=15.60 desc=8.40]
  x=0.00 y=29.28 Text["漢" asc=10.32 desc=2.89]
  x=12.00 y=29.28 Text["（" asc=10.32 desc=2.89]
  x=24.00 y=29.28 Text["字" asc=10.32 desc=2.89]
  x=36.00 y=29.28 Text["）" asc=10.32 desc=2.89]
  x=48.00 y=29.28 Text["。" asc=10.32 desc=2.89]
  x=0.00 y=48.00 Text["仮" asc=15.60 desc=8.40]
  x=0.00 y=77.28 Text["漢" asc=10.32 desc=2.89]
  x=12.00 y=77.28 Text["字" asc=10.32 desc=2.89]
  x=24.00 y=77.28 Text["）" asc=10.32 desc=2.89]
  x=36.00 y=77.28 Text["（" asc=10.32 desc=2.89]
  x=36.00 y=77.28 Text["字" asc=10.32 desc=2.89]
  x=48.00 y=72.00 Text["仮" asc=15.60 desc=8.40]
  x=0.00 y=101.28 Text["漢" asc=10.32 desc=2.89]
  x=12.00 y=101.28 Text["字" asc=10.32 desc=2.89]
  x=24.00 y=101.28 Text["）" asc=10.32 desc=2.89]
  x=36.00 y=101.28 Text["（" asc=10.32 desc=2.89]
  x=42.00 y=101.28 Text["字" asc=10.32 desc=2.89]
  x=0.00 y=120.00 Text["仮" asc=15.60 desc=8.40]
  x=0.00 y=149.28 Text["漢" asc=10.32 desc=2.89]
  x=12.00 y=149.28 Text["・" asc=10.32 desc=2.89]
  x=21.00 y=149.28 Text["（" asc=10.32 desc=2.89]
  x=24.00 y=149.28 Text["字" asc=10.32 desc=2.89]
  x=36.00 y=144.00 Text["仮" asc=15.60 desc=8.40]
