drawer z=0
  x=0.00 y=191.84 AbsoluteRectFrame[w=50.00 h=12.00]
  x=0.00 y=203.84 AbsoluteRectFrame[w=300.00 h=12.00]
  x=0.00 y=11.20 Text["LC1" asc=9.00 desc=3.00]
  x=0.00 y=34.40 Text["LC2" asc=9.00 desc=3.00]
  x=0.00 y=64.32 Text["LC3" asc=14.40 desc=4.80]
  x=0.00 y=103.68 Text["OCSOLO" asc=16.20 desc=5.40]
  x=0.00 y=145.44 Text["OCMULTIA" asc=9.00 desc=3.00]
  x=0.00 y=168.64 Text["OCMULTIB" asc=9.00 desc=3.00]
  x=0.00 y=203.84 Text["X" asc=9.00 desc=3.00]
  x=0.00 y=227.04 Text["LOTP1" asc=9.00 desc=3.00]
  x=0.00 y=251.12 Text["LOTSPAN" asc=18.92 desc=5.30]
  x=0.00 y=301.28 Text["LOTP2" asc=19.80 desc=6.60]
  x=0.00 y=354.56 Text["OOTLONEP" asc=21.60 desc=7.20]
  x=0.00 y=410.64 Text["OOTSPANA" asc=8.60 desc=2.41]
  x=45.00 y=410.64 Text["OOTSPANB" asc=8.60 desc=2.41]
  x=0.00 y=433.44 Text["NLC1" asc=9.00 desc=3.00]
  x=0.00 y=456.64 Text["NLC2" asc=9.00 desc=3.00]
  x=0.00 y=497.76 Text["NLC3" asc=23.40 desc=7.80]
  x=0.00 y=558.08 Text["NLC4" asc=9.00 desc=3.00]
  x=0.00 y=581.28 Text["NLOTP1" asc=9.00 desc=3.00]
  x=0.00 y=604.88 Text["NLOTSPAN" asc=8.60 desc=2.41]
  x=0.00 y=647.84 Text["NLOTP2" asc=25.20 desc=8.40]
  x=0.00 y=712.80 Text["NLOTP3" asc=9.00 desc=3.00]
