drawer z=0
  x=0.00 y=0.00 AbsoluteRectFrame[w=100.00 h=30.00]
  x=0.00 y=30.00 AbsoluteRectFrame[w=104.00 h=26.00]
  x=0.00 y=56.00 AbsoluteRectFrame[w=100.00 h=30.00]
  x=0.00 y=86.00 AbsoluteRectFrame[w=100.00 h=27.00]
  x=0.00 y=113.00 AbsoluteRectFrame[w=100.00 h=66.00]
  x=-4.00 y=113.00 AbsoluteRectFrame[w=104.00 h=20.00]
  x=0.00 y=0.00 Text["A" asc=9.00 desc=3.41]
  x=9.72 y=0.00 Text["block-end(下)" asc=9.00 desc=3.41]
  x=4.00 y=30.00 Text["B" asc=9.00 desc=3.41]
  x=13.17 y=30.00 Text["inline-start(左)" asc=9.00 desc=3.41]
  x=0.00 y=60.00 Text["C" asc=9.00 desc=3.41]
  x=9.17 y=60.00 Text["block-start(上・赤)" asc=9.00 desc=3.41]
  x=0.00 y=86.00 Text["D" asc=9.00 desc=3.41]
  x=9.72 y=86.00 Text["物理が勝つ(1pt)" asc=9.00 desc=3.41]
  x=88.00 y=113.00 Text["E" asc=6.00 desc=6.00]
  x=88.00 y=121.61 Text["縦" asc=6.00 desc=6.00]
  x=76.00 y=113.00 Text["書き" asc=6.00 desc=6.00]
  x=64.00 y=113.00 Text["の" asc=6.00 desc=6.00]
  x=52.00 y=113.00 Text["block-" asc=6.00 desc=6.00]
  x=40.00 y=113.00 Text["end" asc=6.00 desc=6.00]
  x=28.00 y=113.00 Text["(左)" asc=6.00 desc=6.00]
