drawer z=0
  x=0.00 y=0.00 AbsoluteRectFrame[w=100.00 h=12.00]
  x=0.00 y=12.00 AbsoluteRectFrame[w=60.00 h=12.00]
  x=0.00 y=24.00 AbsoluteRectFrame[w=300.00 h=12.00]
  x=0.00 y=36.00 AbsoluteRectFrame[w=80.00 h=12.00]
  x=0.00 y=48.00 AbsoluteRectFrame[w=300.00 h=12.00]
  x=0.00 y=60.00 AbsoluteRectFrame[w=40.00 h=12.00]
  x=0.00 y=72.00 AbsoluteRectFrame[w=40.00 h=12.00]
  x=0.00 y=84.00 AbsoluteRectFrame[w=120.00 h=12.00]
  x=0.00 y=96.00 AbsoluteRectFrame[w=70.00 h=12.00]
  x=0.00 y=108.00 AbsoluteRectFrame[w=90.00 h=12.00]
  x=0.00 y=0.00 Text["BASIC" asc=9.00 desc=3.00]
  x=0.00 y=12.00 Text["AMPON" asc=9.00 desc=3.00]
  x=0.00 y=24.00 Text["AMPOFF" asc=9.00 desc=3.00]
  x=0.00 y=36.00 Text["CHILD" asc=9.00 desc=3.00]
  x=0.00 y=48.00 Text["GRANDCHILD" asc=9.00 desc=3.00]
  x=0.00 y=60.00 Text["LISTA" asc=9.00 desc=3.00]
  x=0.00 y=72.00 Text["LISTB" asc=9.00 desc=3.00]
  x=0.00 y=84.00 Text["DEEP" asc=9.00 desc=3.00]
  x=0.00 y=96.00 Text["LATE" asc=9.00 desc=3.00]
  x=0.00 y=108.00 Text["THEMED" asc=9.00 desc=3.00]
